,label,feature
0,dog_bark,"[-261.7167370876046, 150.43656138320048, -39.22475358775055, -42.16588032125931, -61.49245165074939, -11.521902589861439, -20.335922602452992, -26.724167180408582, -10.069357006124871, -19.242452560231385, -10.164229137587629, 0.6976333292832855, -5.967109642508631, 1.0782906059776898, 4.437280126305621, 7.885586413800299, 10.674793168568401, 6.972602727504225, 2.0765314278095555, 3.7942355596916846]"
1,children_playing,"[-459.91568453706356, 195.64006239032193, -72.68016738600602, 25.212007670371477, -4.368018845066805, 25.754576592123737, 1.5211546992068785, 0.26721505211769486, 15.969405640294724, -8.083871906812943, 0.34685906934736876, 7.199082148029278, 3.311711208454076, 1.3460514801154029, -0.8928425388043211, 7.587432321077242, 5.102679245905191, -3.061211307845237, 3.7221447634462814, -0.08413165503163386]"
2,children_playing,"[-492.24085681520023, 192.4398192249969, -51.34360192723462, 23.484302983160493, -0.052321400530123366, 15.692163545211251, -1.1585350000640804, -0.11902222163228533, 17.31098018634018, -5.122677000434294, 2.2633529906123733, 7.322101844228547, 3.6834654528298403, 6.069218943816389, 0.5737850183593045, 4.192968791579642, 5.037270202382483, -2.32309382907791, 5.008296161116812, -0.27240146244749036]"
3,children_playing,"[-422.4921806975812, 164.71228955846234, -54.58428320553446, 34.92857523546589, -12.948932138845146, 38.73806880317455, -13.083583990282426, 7.392108489056562, 14.944994981148042, -13.954254459110551, 7.015014726370373, -2.076676520746264, 10.890145768759632, -6.725733641345727, 2.7550203097140633, 7.051145885503423, -5.498325468326214, 3.643561113522622, -1.3857937081623157, 2.0944661783413]"
4,children_playing,"[-484.11764798280325, 194.81409231965367, -64.03602817022978, 23.817425171423427, -4.04503044073466, 21.11610339768634, 2.815036598169628, 7.851244957632949, 15.445046834340769, -7.5646538950731435, -0.6610248163856327, 8.863847604341606, 5.832495520045774, 7.570133825933047, -1.5841867332906603, 4.086501724503206, 5.926719774555, -4.148567168649502, 3.6127673609402455, 1.5765534589435752]"
5,children_playing,"[-479.70002333643924, 190.44865133921004, -57.17591571799333, 31.702569825648396, -1.181375301353903, 23.443885172034513, 2.5771272925402138, 4.668417495442829, 16.123919724696044, -2.479517716001503, 6.016528448746635, 5.202036268307048, 5.442614467196155, 5.76512158600056, 0.4834077745214902, 5.790597278539317, 5.028089127239503, -1.901874874797371, 3.221569139440489, 0.7367759385034863]"
6,children_playing,"[-504.5228341787388, 185.67421015648262, -54.17769621280848, 33.95079314701591, -0.036309300330165314, 21.36508100069582, 5.312037006342496, 6.647076698947263, 16.107558714289485, -3.452105809337686, 0.4570026147620719, 8.440922424310248, 2.3323042012903956, 6.193350801269893, -0.8217237545209475, 2.2928402983115026, 4.8792712661636655, -2.371733353578601, 5.3362169427030794, -0.4988918764721971]"
7,children_playing,"[-495.9952225487135, 184.1918426581876, -55.732655589289664, 40.64571002285105, -2.333851161835785, 15.33801055384452, 0.6245359132914292, 3.946765156580194, 14.977222750838825, -0.04606742054449787, 4.196904356238091, 7.840079656262755, 6.331079527568081, 8.947902828806944, 0.12034412826538587, 6.91220910329596, 6.4595086223943285, -2.211003085448025, 5.504125988722902, -0.08400233942223025]"
8,children_playing,"[-504.98746508800787, 192.986668484202, -53.363403001234005, 27.16689615093398, 5.755833969895641, 18.277863999857892, 1.3079118976043118, 8.60645996575928, 14.467275759727642, -0.21571700004507852, 1.3884395948022965, 9.611863569538842, 6.951500702418043, 5.578428237827292, 2.8939820529596716, 4.3741886160220504, 5.243040285274976, -0.3419461096281834, 2.9569709944440365, 0.6023238194917448]"
9,car_horn,"[-257.2201183590289, 159.85761881251148, -25.002508996546787, 61.56464466534536, -40.849922708776504, 29.796337076313453, -9.02737038595089, 11.0861672201067, -15.488716424764174, -12.944587705425251, -9.742181568957886, -5.4676266035370675, -2.3542463611101554, -9.491783303404006, -2.6832064860383915, -14.84975874796845, 0.7622897801582148, -11.296147134624002, 4.094117534533666, -3.048399124826902]"
